ID;Comment_date;Comment;Gender;Rate;Category
25;2025-09-21;…Есть что выбрать на любой вкус. Бармен вызывает недоумение и оставляет неприятное впечатление от заведения в целом.странное чувство юмора и хамство.…;ж;2;Персонал
26;2025-03-24;…а не сделал замечание. Причин своего ора и выражения своего недовольствия не объяснил. Грубый и агрессивный бармен - это главная находка заведения. Смешивать не умеет…;м;1;Персонал
27;2025-04-27;Была несколько раз и рекомендовала друзьям, место нравится, но бармены неочень лояльны. Любят только завсегдашных, редких посетителей встречают хамовато.;ж;4;Персонал
28;2026-03-22;Персонал совершенно не заинтересован в клиентах. Любое общение воспринимается в штыки. Хотя само место очень достойное. Но персонал всё портит.;м;1;Персонал
29;2024-07-19;Максимальное отсутствие клиентоориентированности со стороны сотрудников данного заведения. Хамящие бармены, которые могут уронить ваш заказ, и обвинять в этом же вас.…;ж;1;Персонал
30;2025-03-10;Ужасное место. Очень тесно. Алкоголь палёный. Охранник хамит посетителям и провоцирует конфликты.;м;1;Персонал
31;2025-07-04;;ж;1;Персонал
32;2024-02-07;Очень уютное место. Играет хорошая музыка. Пиво вкусное. Барменка посоветовала прекрасные шоты. Красивая, умная, замечательная женщина. Из минусов — помещение небольшое…;м;5;Персонал
33;2025-02-21;Очень атмосферное местечко, с вежливым и приятным персоналом) Очень порадовало, что коктейли не разбавленные, как в большинстве баров! Кухня тоже на высоте…;ж;5;Персонал
34;2022-11-06;…Выбор пал на вино, оно со вторым блюдом сочеталось. За вином душевно поговорил с барменом. Вообщем согрелся и наелся в один из холодных дней ноября.…;м;5;Персонал
35;2022-09-18;…Заскочил, накинул рюмку-другую и поскакал дальше. Приятная музыка. И что самое важное - офигительный персонал. Дружелюбный, я бы даже сказал дружеский. При том…;м;5;Персонал
36;2024-09-16;Очень уютный маленький бар в центре Москвы. Цены демократичные. Официанты приятные. Еда норм. Рекомендую!;м;5;Персонал
37;2025-11-16;вкусные напитки, замечательный и очень приветливый персонал, обожаю этот бар 🥰;ж;5;Персонал
38;2024-07-29;Уже лет пять периодически посещаю это заведение и всё очень нравится. Персонал, напитки, еда... звездочку снимаю за недавнюю неприятную ситуацию. Подруге приготовили хотдог и пока подавали…;ж;4;Персонал
39;2024-09-29;…что он «для своих» тут все друг друга знают. Никаких стычек и малолетних алкогольных драк. Серьезный и очень отзывчивый персонал. В пятницу и субботу работает диджей.…;ж;5;Персонал
40;2020-06-28;…вкусно и качественно. Сотрудники не навязываются, но при этом всегда готовы ответить на вопросы и поддержать разговор, если будет желание. Однозначно зачет.…;ж;5;Персонал
41;2021-06-21;Очень атмосферно. Бармен Ольга делает все заведение ламповым. Разноцветные коктейли, шоты в 40 гр и в 4 слоя, быстро, вкусно, алкогольно! Каждый день разные акции.…;ж;5;Персонал
42;2021-10-30;Цены гуманные для центра, но крайне мало места, что называется - набито как селедки в бочке и ходить по головам…для любителей такой атмосферы, поговорить за рюмкой чая точно не получится, только заправлять баки));м;3;Атмосфера
43;2024-01-29;"Чисто ""шотовое место"" со скучноватым интерьером На Пятницкой есть куда более интересные места…";м;3;Атмосфера
44;2025-11-01;…Теперь жига дрыга видимо работает исключительно на неприятных мужиков, а на приятную атмосферу болт кладет, потому что мы мельче и слабее и нас презирает уже и целевая, и персонал.…;ж;2;Атмосфера
45;2018-10-20;Бармены хамы, грязно, душно - полный треш. Видимо, это место только для своих. Если Вы не свой - не ходите туда!;м;1;Атмосфера
46;2022-04-20;Мало места, люди толкают друг друга, коктели так себе. Непридем.…;м;1;Атмосфера
47;2023-10-17;Минус,очень душно внутри,а так заведение неплохое.;м;3;Атмосфера
48;2022-12-27;Просто обрыгаловка. Наверное каждый приходит за тем что он хочет, но что там делать не знаю. Люди спят на барной стойке, кого то тошнит прямив зале, все синие…;м;1;Атмосфера
49;2021-10-16;Странная музыка и атмосфера…;м;1;Атмосфера
50;2025-03-30;Веселое жогово! Коктейли вкусные, меню коктейльное большое. Прикольно поджигают б-52, пламенем от барной стойки. Эффектно, когда несколько рюмок. Такое я видел впервые.…;м;5;Атмосфера
51;2024-01-18;Крутое место что бы выпить недорогие и качественные коктейли. Атмосфера правда на любителя, для пьяной дружеской компании норм, для тихого вечера точно нет);м;4;Атмосфера
52;2022-04-09;…Выбрали это заведение совершенно случайно. Такое узенькое помещение внутри, но очень уютно. Музыка огонь. Заказали: - салат с курицей и медово-горчичной заправкой. Супер.…;ж;5;Атмосфера
53;2025-02-10;Жига дрыга в сердечке еще с давних времен, атмосферный небольшой бар с хорошей музыкой и приятными ребятами да стойкой;ж;5;Атмосфера
54;2023-11-07;Приятное и пристойное заведение! Часто провожу вечернее время в компании друзей именно тут. Подходит на все случаи жизни, будь ты с друзьями или просто…;м;5;Атмосфера
55;2024-04-12;Душевное место. Днем поесть, пива попить. Вечером коктейли и оригинальные настойки. Всегда подборка хорошей музыки и отличное настроение!…;м;5;Атмосфера
56;2023-05-20;…путешествии куда-то далеко и непременно на чоппере и с ветром в волосах, чудесная бармен и приятные цены 👍🏻 все как мы любим)) из еды брали куриное филе в…;ж;5;Атмосфера
57;2025-03-05;Хороший тихий бар с максимально приятной музыкой. Замечательная атмосфера, богатый выбор напитков, в том числе очень вкусный облепиховый чай. А ещё очень вкусные хот-доги.…;м;5;Атмосфера
58;2025-01-16;Классный бар, в котором можно приятно посидеть с друзьями, под классные напитки, музыку и атмосферу, офигенный дизайн, красная королева прекрасна);м;5;Атмосфера
59;2023-09-08;…то можно посидеть на небольшой, так скажем, террасе. Сам бар очень крутой, музыка шикарная, еда вкусная, напитки топ. А главное, люди, работающие в Жиге…;ж;5;Атмосфера
60;2023-09-20;Соседский бар на районе. Общение не формальное. Алкоголь качественный, никаких проблем не было. Бывает много сильно пьяных людей…;ж;5;Атмосфера
61;2025-09-08;Очень люблю такие небольшие приятные атмосферные места. И это место как раз из таких. Несмотря на расположение в центре Москвы ценник совершенно не конский.…;м;5;Атмосфера
62;2019-01-17;Мда, любителям пива тут вряд ли понравится. 1 сорт невнятного лагера по цене 200 р., которое чуть хуже Жигулёвского... Однако...;м;3;Алкоголь
63;2021-05-20;Когда я приходила, мне сказали по карте не принимаем, обслуживание на 3, заказала виски с колой, коктейль был слишком разбавлен…;ж;2;Алкоголь
64;2022-12-05;Настойки ни о чем,хамоватый персонал Ушли через полчаса…;ж;3;Алкоголь
65;2021-04-10;Пришли по рекомендации друзей попробовать их настойки. У нас было 2 бутылки 0.5 с водой и липтоном, которую мы купили в магазине по дороге. К нам подошел бармен и в грубой форме сказал…;м;1;Алкоголь
66;2024-05-04;Коктейли для девушек оказались не очень, парни вроде довольны.…;м;3;Алкоголь
67;2019-10-03;Палёный алкоголь, плохой звук разрывающий уши, хамоватые бармены, соответствующий гоп-контингент;м;1;Алкоголь
68;2021-09-10;Прикольно, но не более. Понравились бургеры, пиво так себе.;м;4;Алкоголь
69;2022-06-05;Так себе. Выбор пива из 4 позиций. Самообслуживание.;м;3;Алкоголь
70;2022-04-20;Мало места, люди толкают друг друга, коктели так себе. Непридем.…;м;1;Алкоголь
71;2026-04-07;в баре нет пива кроме вишневого…;м;2;Алкоголь
